                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4817,                 3.5842,                  4.234,                0.00963,                0.63415,                0.02755,                0.00761,                 2.6709,                 3.3996,                  4.158,                0.00012,                0.00012,                0.00012
                      2,                 3.4394,                 3.5231,                 4.1941,                0.00963,                0.63415,                0.03214,                0.00837,                 2.6695,                 3.3966,                 4.1549,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.6852,                 3.4998,                 4.1585,                0.00926,                0.60976,                0.03481,                0.00956,                 2.6661,                 3.3912,                 4.1482,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.5631,                 3.3182,                   4.13,                0.00963,                0.63415,                0.03638,                0.01066,                 2.6636,                 3.3863,                 4.1402,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.4714,                 3.2404,                 4.0995,                0.00963,                0.63415,                0.03729,                0.01068,                  2.659,                 3.3784,                 4.1245,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.3889,                 3.0967,                 4.0149,                0.00926,                0.60976,                0.03496,                0.01103,                 2.6576,                 3.3721,                 4.1128,             0.00077941,             0.00077941,             0.00077941
                      7,                 3.4083,                 2.9354,                  3.881,                0.00926,                0.60976,                0.04505,                  0.014,                 2.6822,                 3.3777,                 4.1266,             0.00090298,             0.00090298,             0.00090298
                      8,                 3.3091,                 2.9187,                 3.7527,                   0.01,                0.65854,                0.05046,                0.01592,                 2.7068,                 3.3861,                  4.157,              0.0010238,              0.0010238,              0.0010238
                      9,                 3.2172,                 2.8054,                 3.6273,                0.00926,                0.60976,                0.01854,                0.00749,                  2.669,                 3.2903,                 3.9678,              0.0011418,              0.0011418,              0.0011418
                     10,                  3.148,                 2.9366,                 3.6061,                0.00963,                0.63415,                0.01852,                0.00621,                 2.6846,                 3.3059,                 4.0154,               0.001257,               0.001257,               0.001257
                     11,                 3.0666,                 2.7189,                 3.4253,                0.00926,                0.60976,                0.01353,                0.00502,                 2.6371,                  3.336,                 4.0969,              0.0013695,              0.0013695,              0.0013695
                     12,                 2.9775,                 2.7217,                 3.4009,                0.04294,                0.17073,                0.01854,                0.00606,                  2.752,                 6.8761,                 4.7524,              0.0014792,              0.0014792,              0.0014792
                     13,                  2.952,                 2.7166,                 3.3504,                0.03178,                0.12195,                0.01485,                0.00546,                 2.7669,                 9.2387,                 4.6728,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.9409,                 2.7361,                 3.3044,                 0.0246,                0.17073,                0.01211,                0.00398,                 2.8358,                 11.779,                 4.7056,              0.0016903,              0.0016903,              0.0016903
                     15,                 2.9038,                 2.6842,                 3.2959,                0.03049,                 0.2439,                0.01593,                0.00556,                 2.6652,                 15.114,                 4.7426,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.789,                 2.5874,                  3.169,                0.04915,                0.19512,                0.06822,                0.01401,                 2.3618,                 15.711,                 4.4646,               0.001703,               0.001703,               0.001703
                     17,                 2.9317,                 2.5448,                 3.1484,                0.04351,                 0.2439,                0.02882,                0.00838,                 2.3927,                 32.215,                 4.7888,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.8225,                 2.5721,                 3.1826,                0.03793,                0.26829,                0.02169,                0.00934,                 2.5428,                 51.882,                 5.0446,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.7553,                 2.5918,                 3.1119,                0.06306,                0.17073,                0.05681,                0.01128,                 2.5597,                 84.019,                 5.2905,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.8195,                 2.5323,                 3.1082,                0.04706,                0.19512,                0.03592,                0.00967,                 2.8738,                 127.82,                 6.2768,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.7202,                 2.5352,                 3.0453,                    0.1,                0.07317,                0.03764,                0.00987,                  2.788,                 85.179,                 5.5911,               0.001604,               0.001604,               0.001604
                     22,                  2.699,                 2.5487,                 3.0782,                0.34788,                0.19512,                0.13612,                0.03596,                 2.4277,                 5.0409,                 3.8216,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.6282,                 2.3933,                 2.9378,                0.18825,                0.16972,                0.10338,                0.03114,                  2.648,                 3.8163,                 3.8396,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.6873,                 2.4788,                 2.9978,                 0.2558,                0.29268,                0.13077,                0.04118,                 2.5295,                 3.0859,                 3.4682,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.6203,                 2.4362,                 2.9648,                 0.2739,                0.29268,                0.18281,                0.07051,                 2.4334,                 3.0834,                 3.2207,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.5588,                 2.4656,                 2.9698,                0.26053,                0.36585,                0.22526,                0.09218,                 2.3005,                 3.1124,                 3.0298,               0.001505,               0.001505,               0.001505
                     27,                 2.5397,                 2.2997,                 2.8292,                0.23783,                0.41463,                0.18099,                0.06638,                 2.2801,                 3.1046,                  2.957,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.5137,                 2.3135,                 2.8048,                0.14948,                0.29268,                0.08939,                0.02998,                 2.3225,                 3.4771,                 3.1108,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.4607,                 2.3026,                 2.8106,                0.11958,                0.31707,                0.10458,                 0.0325,                 2.2728,                 3.0678,                 3.0904,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.4109,                 2.3424,                 2.8173,                0.28511,                 0.2439,                0.19423,                0.06256,                 2.3987,                 2.9073,                 3.1118,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.3541,                 2.2862,                  2.779,                0.31379,                0.31707,                0.22291,                0.07667,                  2.239,                 2.7185,                 2.9127,               0.001406,               0.001406,               0.001406
                     32,                 2.3115,                 2.2263,                 2.7288,                0.27606,                0.29268,                0.21588,                0.08016,                 2.1337,                 2.8182,                 2.9038,              0.0013862,              0.0013862,              0.0013862
                     33,                  2.389,                 2.2319,                 2.7507,                0.42875,                0.21951,                0.24325,                0.07659,                 2.2183,                 3.1684,                 2.9599,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.3777,                 2.1914,                 2.7393,                0.39586,                0.26829,                0.23545,                0.07837,                 2.2636,                 2.8717,                 2.9661,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.2543,                 2.0656,                 2.5878,                0.32535,                0.41463,                 0.2537,                0.08024,                  2.278,                 2.5827,                 3.0645,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3086,                 2.1661,                 2.7076,                0.27983,                 0.4878,                 0.2328,                0.07435,                  2.183,                 2.5293,                 2.9554,               0.001307,               0.001307,               0.001307
                     37,                 2.2768,                 2.0664,                 2.6175,                0.23605,                0.29268,                0.18185,                0.06036,                  2.225,                 2.6761,                 3.0395,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.1994,                 2.0678,                 2.6184,                0.21178,                0.39024,                 0.2511,                0.08836,                 2.1453,                 2.5188,                 2.9789,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.2289,                 2.1077,                 2.6093,                0.32515,                0.28221,                 0.2515,                0.09885,                 2.0753,                  2.643,                 2.8718,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.1701,                 2.1041,                 2.5542,                0.34565,                0.31707,                0.30888,                0.13121,                 2.0718,                 2.4644,                 2.8109,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.1256,                 2.0045,                 2.5032,                0.28596,                0.39024,                0.27773,                0.12928,                 2.0597,                  2.511,                 2.8151,               0.001208,               0.001208,               0.001208
                     42,                 2.1041,                 1.9723,                 2.4874,                0.28987,                0.31707,                0.29118,                0.11301,                 2.0842,                 2.5355,                 2.8844,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.1148,                 1.9875,                 2.5043,                0.47202,                0.29268,                0.38287,                0.15881,                 2.0559,                 2.2639,                 2.7924,              0.0011684,              0.0011684,              0.0011684
                     44,                  2.032,                 1.9822,                 2.4379,                0.36453,                0.33591,                0.37095,                0.16461,                 2.0784,                 2.6018,                 2.7465,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.0142,                 1.8789,                 2.4112,                0.30368,                0.34146,                0.28485,                0.13613,                 2.0394,                 2.7219,                 2.7656,              0.0011288,              0.0011288,              0.0011288
                     46,                 2.0629,                 1.9389,                 2.3834,                0.12742,                0.12195,                0.04142,                0.01881,                 2.4669,                 4.3383,                 3.3375,               0.001109,               0.001109,               0.001109
                     47,                 2.0345,                 1.9551,                 2.4187,                0.21314,                0.25778,                0.15017,                0.05843,                 2.1703,                 3.3866,                 2.9573,              0.0010892,              0.0010892,              0.0010892
                     48,                 2.0781,                  1.862,                 2.3239,                0.32485,                 0.2439,                 0.1857,                0.06789,                 2.1532,                 3.2483,                 2.9515,              0.0010694,              0.0010694,              0.0010694
